state,age,grade,hours,num612,num1317,youngest,othrlt18,othrge18,bmodk5,white,centcity,public,quarter,numge18
1,29.5,12,40,0,0,5,0,0,1,0,1,1,3,0
1,26.75,9,0,2,0,2,0,0,34,0,1,0,0,0
1,27.25,11,40,4,0,4,1,1,1,0,1,0,2,0
1,29.25,12,0,3,0,5,0,0,1,0,1,0,0,0
1,33.25,10,0,2,0,1,0,0,1,0,1,1,3,0
1,25.25,12,38,0,0,5,0,0,1,0,1,0,0,0
1,23.75,12,40,0,0,5,0,0,1,0,1,0,1,0
1,27.25,12,0,1,0,3,0,0,1,1,0,1,2,0
1,28,9,0,4,0,3,0,0,1,0,0,1,3,0
1,29.75,12,40,0,0,5,0,0,1,1,0,1,0,0
1,40,12,40,0,1,5,0,0,1,1,0,0,1,1
1,34.75,16,3,1,0,2,0,0,1,1,0,0,3,0
1,39,8,30,1,0,5,0,0,1,1,0,0,0,0
1,42,11,15,3,3,5,0,0,1,0,0,1,3,1
1,50,3,0,1,0,5,0,0,1,1,0,0,0,0
1,37.5,11,0,0,2,2,0,0,34,0,0,0,1,0
1,24.75,12,0,1,0,4,0,0,1,0,0,1,2,0
1,29.25,12,40,1,0,5,0,0,1,1,0,0,0,0
1,31.75,15,40,1,0,5,0,1,1,1,0,1,1,0
1,26.25,12,30,0,0,5,0,0,1,1,0,0,0,0
1,28.5,15,0,1,0,5,0,0,12,1,0,0,3,0
1,41,10,40,0,2,5,0,0,1,0,0,1,2,3
1,31.75,12,31,2,0,5,0,0,1,0,0,1,3,0
1,26.25,11,0,1,0,1,0,0,1,0,0,0,3,0
1,33.5,14,30,1,0,5,0,0,1,1,0,1,1,0
1,46.75,6,0,0,0,5,0,0,1,0,0,0,0,1
1,28.5,14,40,0,0,5,0,0,1,1,0,0,3,0
1,31.75,12,40,2,0,5,0,0,1,1,0,1,1,0
1,32,13,20,0,0,1,0,0,1,1,0,1,0,0
1,39,16,38,1,1,5,0,0,1,1,0,1,1,0
1,31.25,12,40,1,0,4,0,0,1,1,0,1,2,0
1,27,16,40,0,0,5,0,0,1,0,0,0,3,0
1,38.5,12,0,0,0,5,0,0,36,0,0,0,0,0
1,32,16,42,0,0,1,0,0,1,1,0,0,3,0
1,30.5,16,40,1,0,5,0,0,1,1,0,0,2,0
1,35,10,0,3,2,1,0,0,1,0,0,0,2,0
1,24.75,12,40,0,0,1,0,0,1,1,0,0,2,0
1,25.5,12,16,0,0,3,0,0,1,1,0,0,2,0
1,24.5,12,0,1,0,5,0,0,1,1,0,0,0,0
1,23.25,9,53,0,0,5,0,0,1,1,0,1,2,0
1,35,12,40,2,1,5,0,0,1,1,0,0,3,0
1,28.5,10,0,1,0,3,0,0,1,0,0,1,2,0
1,29.25,12,0,1,0,5,0,0,6,1,0,1,1,0
1,21.75,12,0,0,0,0,0,0,1,0,0,0,3,0
1,27,15,40,0,0,3,0,0,1,0,0,0,0,0
1,26.5,12,40,0,0,5,0,1,1,0,0,1,2,0
1,31,12,20,1,0,5,0,0,1,1,0,1,1,0
1,34.75,10,40,1,2,5,0,0,1,0,0,1,1,0
1,29,5,0,2,0,2,0,1,1,0,0,0,1,0
1,28.25,16,0,0,0,3,0,0,48,1,0,1,1,0
1,28,12,40,1,0,5,0,0,1,0,0,0,0,0
1,23.25,12,0,0,0,3,0,0,1,0,0,0,2,0
1,24.5,9,0,1,0,0,0,1,1,0,0,1,2,0
1,33.25,12,80,1,0,5,0,0,1,0,0,0,0,0
1,21.5,13,55,0,0,3,0,0,1,0,0,0,0,0
1,30.5,10,40,1,0,5,0,0,1,0,0,1,2,0
1,29.75,12,46,1,0,5,0,0,1,0,0,1,1,0
1,32.75,8,0,2,3,5,0,0,1,0,0,1,0,0
1,41,9,36,2,4,0,1,0,1,0,0,1,2,2
1,30.5,7,0,0,0,3,0,0,1,1,0,0,1,0
1,44.25,10,2,0,2,1,1,0,1,0,0,0,3,1
1,33.75,12,41,1,0,3,0,1,1,1,0,0,2,0
1,37,8,0,1,0,3,0,2,1,0,0,1,1,0
1,22.75,10,0,0,0,5,0,2,1,0,0,1,2,0
1,28.5,7,48,1,0,5,0,1,1,1,0,0,2,0
1,27.75,12,36,0,0,4,0,0,1,1,0,1,1,0
1,21,12,26,0,0,2,1,0,1,0,0,0,2,0
1,24.5,8,0,0,0,5,0,2,1,0,0,1,0,0
1,30.75,12,0,1,0,5,0,0,1,0,0,1,2,0
1,37.75,10,0,2,1,4,0,0,1,0,0,0,1,0
1,28,12,0,2,0,1,0,0,1,0,0,0,1,0
1,37.5,10,0,1,2,3,0,0,1,1,0,0,0,0
